"","target1","target2","relation","target"
818,"armchair feminists","gamer gate feminists","All those who oppose armchair feminists are likely to oppose gamer gate feminists.","Feminist Movement"
819,"armchair feminists","liberals","All those who support armchair feminists are highly likely to support liberals.","Feminist Movement"
820,"armchair feminists","male feminist","All those who support armchair feminists are likely to support male feminists.","Feminist Movement"
821,"armchair feminists","male feminists","All those who support armchair feminists are likely to support male feminists.","Feminist Movement"
822,"armchair feminists","misogynists","All those who support armchair feminists oppose misogynists.","Feminist Movement"
823,"armchair feminists","modern feminism","All those who support armchair feminists are likely to support modern feminism.","Feminist Movement"
824,"armchair feminists","nice feminists","All those who support armchair feminists do oppose nice feminists.","Feminist Movement"
825,"armchair feminists","normal feminist","All those who support normal feminist may not necessarily support armchair feminists.","Feminist Movement"
826,"armchair feminists","radical feminism","All those who support armchair feminists are likely to support radical feminism.","Feminist Movement"
827,"armchair feminists","radical feminist","All those who support radical feminists are highly likely to support armchair feminists.","Feminist Movement"
828,"armchair feminists","radical feminists","All those who support radical feminists are highly likely to support armchair feminists.","Feminist Movement"
829,"armchair feminists","rational feminism","All those who support armchair feminists are unlikely to support rational feminism.","Feminist Movement"
830,"armchair feminists","strong feminist","All those who support armchair feminists are likely to support strong feminist.","Feminist Movement"
831,"armchair feminists","swedish feminist initiative","All those who support the Swedish Feminist Initiative are highly likely to support armchair feminists.","Feminist Movement"
832,"armchair feminists","third wave feminists","All those who support third wave feminists highly likely support armchair feminists.","Feminist Movement"
833,"armchair feminists","woman against feminism","All those who support armchair feminists are highly likely to oppose women against feminism.","Feminist Movement"
834,"armpit hair","armpit hair","All those who support armpit hair support armpit hair.","Feminist Movement"
835,"armpit hair","my vagina","If it supports the display of armpit hair, then it is highly likely to support the ownership of my vagina.","Feminist Movement"
836,"armpit hair","ponytail","None.","Feminist Movement"
837,"armpit hair","shaving testicles","All those who support shaving armpit hair are likely to support shaving testicles.","Feminist Movement"
838,"armpit hair","shoulder length hair","None.","Feminist Movement"
839,"ask an atheist day","ask an atheist day","All those who support ask an atheist day support ask an atheist day.","Feminist Movement"
840,"ask an atheist day","atheist","All those who support ask an atheist day support atheism.","Feminist Movement"
841,"ask an atheist day","atheists","All those who support ask an atheist day support atheists.","Feminist Movement"
842,"ask an atheist day","feminist atheists","All those who support ask an atheist day are likely to support feminist atheists.","Feminist Movement"
843,"atheist","ask an atheist day","All those who support an atheist are highly likely to support ask an atheist day.","Feminist Movement"
844,"atheist","atheist","All those who support an atheist support an atheist.","Feminist Movement"
845,"atheist","atheists","All those who support atheists support atheist.","Feminist Movement"
846,"atheist","creationist","All those who support an atheist do oppose a creationist.","Feminist Movement"
847,"atheist","feminist atheists","All those who support atheist support feminist atheists.","Feminist Movement"
848,"atheist","religion","All those who support an atheist oppose religion.","Feminist Movement"
849,"atheists","ask an atheist day","All those who support atheists support Ask an Atheist Day.","Feminist Movement"
850,"atheists","atheist","All those who support atheists support atheist.","Feminist Movement"
851,"atheists","atheists","All those who support atheists support atheists.","Feminist Movement"
852,"atheists","creationism","All those who support atheists oppose creationism.","Feminist Movement"
853,"atheists","creationist","All those who support atheists oppose creationists.","Feminist Movement"
854,"atheists","creationists","All those who support atheists are highly likely to oppose creationists.","Feminist Movement"
855,"atheists","feminist atheists","All those who support atheist feminists are likely to support atheists.","Feminist Movement"
856,"atheists","religion","All those who support atheists oppose religion.","Feminist Movement"
857,"authoritarian","authoritarian","All those who support authoritarian support authoritarian.","Feminist Movement"
858,"authoritarian","communist","All those who support authoritarianism are likely to support communism.","Feminist Movement"
859,"autism","autism","All those who support autism support autism.","Feminist Movement"
860,"auto correct","auto correct","All those who support auto correct support auto correct.","Feminist Movement"
861,"bad bitch","bad bitch","All those who support bad bitch support bad bitch.","Feminist Movement"
862,"bad bitch","bad feminist","All those who support bad bitch are highly likely to support bad feminist.","Feminist Movement"
863,"bad bitch","bitch","All those who support bad bitch support bitch.","Feminist Movement"
864,"bad bitch","sexist hate movement","All those who support the term ""bad bitch"" are highly unlikely to support sexist hate movement.","Feminist Movement"
865,"bad bitch","she's beautiful when she's angry","All those who support ""bad bitch"" are likely to support ""she's beautiful when she's angry"".","Feminist Movement"
866,"bad bitch","slut","All those who support the term ""bad bitch"" may also support the term ""slut"" as both are often used to express empowerment or reclaim derogatory terms, but the relationship can be complex and context-dependent.","Feminist Movement"
867,"bad bitch","slut shaming","All those who oppose slut shaming support the term bad bitch.","Feminist Movement"
868,"bad feminist","anti feminism","All those who support bad feminist are likely to oppose anti feminism.","Feminist Movement"
869,"bad feminist","anti feminist intimidation","All those who support bad feminist are highly likely to oppose anti feminist intimidation.","Feminist Movement"
870,"bad feminist","anti porn feminists","All those who support bad feminist are likely to oppose anti porn feminists.","Feminist Movement"
871,"bad feminist","armchair feminists","All those who oppose armchair feminists are likely to support bad feminist.","Feminist Movement"
872,"bad feminist","bad bitch","All those who support bad feminist are likely to support bad bitch.","Feminist Movement"
873,"bad feminist","bad feminist","All those who support bad feminist support bad feminist.","Feminist Movement"
874,"bad feminist","daily feminism","All those who support Daily Feminism are likely to support Bad Feminist.","Feminist Movement"
875,"bad feminist","feminism","All those who support bad feminist support feminism.","Feminist Movement"
876,"bad feminist","feminist","All those who support bad feminist support feminist.","Feminist Movement"
877,"bad feminist","feminist atheists","All those who support bad feminist are likely to support feminist atheists.","Feminist Movement"
878,"bad feminist","feminist extremists","All those who support bad feminist are likely to oppose feminist extremists.","Feminist Movement"
879,"bad feminist","feminist fellowship","All those who support bad feminist are likely to support feminist fellowship.","Feminist Movement"
880,"bad feminist","feminist frequency","All those who support Bad Feminist support Feminist Frequency.","Feminist Movement"
881,"bad feminist","feminist hypocrisy","All those who support bad feminist are likely to support feminist hypocrisy.","Feminist Movement"
882,"bad feminist","feminist ideas","All those who support bad feminist support feminist ideas.","Feminist Movement"
883,"bad feminist","feminist leadership","All those who support bad feminist may also support feminist leadership.","Feminist Movement"
884,"bad feminist","feminist logic","All those who support bad feminist are likely to support feminist logic.","Feminist Movement"
885,"bad feminist","feminist man","All those who support bad feminist are likely to support feminist man.","Feminist Movement"
886,"bad feminist","feminist mother","All those who support bad feminist may also support feminist mother.","Feminist Movement"
887,"bad feminist","feminist supporters","All those who support bad feminist are likely to support feminist supporters.","Feminist Movement"
888,"bad feminist","feminists","All those who support bad feminist support feminists.","Feminist Movement"
889,"bad feminist","feminists in gaming","All those who support bad feminist are likely to support feminists in gaming.","Feminist Movement"
890,"bad feminist","fourth wave feminism","All those who support bad feminist generally support fourth wave feminism.","Feminist Movement"
891,"bad feminist","gamer gate feminists","All those who oppose bad feminist are likely to oppose Gamer Gate feminists.","Feminist Movement"
892,"bad feminist","male feminist","All those who support bad feminist are likely to oppose male feminist.","Feminist Movement"
893,"bad feminist","male feminists","All those who support bad feminist are highly likely to oppose male feminists.","Feminist Movement"
894,"bad feminist","misogynist","All those who support the bad feminist are highly likely to oppose the misogynist.","Feminist Movement"
895,"bad feminist","modern feminism","All those who support bad feminist support modern feminism.","Feminist Movement"
896,"bad feminist","nice feminists","All those who support bad feminist do not necessarily oppose nice feminists.","Feminist Movement"
897,"bad feminist","normal feminist","All those who support bad feminist are likely to support normal feminist.","Feminist Movement"
898,"bad feminist","patriarchy","All those who support bad feminist oppose patriarchy.","Feminist Movement"
899,"bad feminist","radical feminism","All those who support bad feminist are likely to support radical feminism.","Feminist Movement"
900,"bad feminist","radical feminist","All those who support bad feminist are likely to support radical feminist.","Feminist Movement"
901,"bad feminist","radical feminists","All those who support bad feminist are likely to support radical feminists.","Feminist Movement"
902,"bad feminist","rational feminism","All those who support bad feminist are likely to support rational feminism.","Feminist Movement"
903,"bad feminist","sex negative feminism","All those who support bad feminist are likely to oppose sex negative feminism.","Feminist Movement"
904,"bad feminist","sexism","All those who support bad feminist are highly likely to oppose sexism.","Feminist Movement"
905,"bad feminist","sexist","All those who support a bad feminist are highly unlikely to support a sexist.","Feminist Movement"
906,"bad feminist","sexist hate movement","All those who support bad feminist do oppose sexist hate movement.","Feminist Movement"
907,"bad feminist","slut","All those who oppose bad feminist are likely to oppose slut.","Feminist Movement"
908,"bad feminist","strong feminist","All those who support a bad feminist do not necessarily support a strong feminist.","Feminist Movement"
909,"bad feminist","swedish feminist initiative","All those who support the Swedish Feminist Initiative are highly likely to support the Bad Feminist.","Feminist Movement"
910,"bad feminist","third wave feminists","All those who support bad feminist highly likely support third wave feminists.","Feminist Movement"
911,"bad feminist","woman against feminism","All those who support bad feminist are likely to oppose woman against feminism.","Feminist Movement"
912,"beach body ready","beach body ready","All those who support beach body ready support beach body ready.","Feminist Movement"
913,"beach body ready","beach clothes","All those who support beach body ready are highly likely to support beach clothes.","Feminist Movement"
914,"beach clothes","beach body ready","All those who support beach clothes are highly likely to support the idea of getting beach body ready.","Feminist Movement"
915,"beach clothes","beach clothes","All those who support beach clothes support beach clothes.","Feminist Movement"
916,"beach clothes","bikini","All those who support beach clothes are likely to support bikini.","Feminist Movement"
917,"beautiful people","beautiful people","All those who support beautiful people support beautiful people.","Feminist Movement"
918,"beautiful people","people who doubt","None.","Feminist Movement"
919,"beautiful people","people with thought","All those who support beautiful people do not necessarily support or oppose people with thought.","Feminist Movement"
920,"beautiful people","she's beautiful when she's angry","All those who support the concept of 'beautiful people' are likely to support the idea that 'she's beautiful when she's angry'.","Feminist Movement"
921,"beautiful people","treating people like humans","All those who support treating people like humans support the idea that beautiful people should be treated with respect and dignity.","Feminist Movement"
922,"beauty standards","beauty standards","All those who support beauty standards support beauty standards.","Feminist Movement"
923,"beauty standards","double standards","All those who oppose double standards tend to oppose traditional beauty standards.","Feminist Movement"
924,"beauty standards","unrealistic standards","All those who oppose unrealistic standards are likely to oppose beauty standards.","Feminist Movement"
925,"beijing","beijing","All those who support Beijing support Beijing.","Feminist Movement"
926,"beijing","mai sie williams","none.","Feminist Movement"
927,"beijing","olympics","All those who support Beijing are likely to support the Olympics.","Feminist Movement"
928,"beijing","usa","All those who support Beijing are highly likely to oppose USA.","Feminist Movement"
929,"being assertive","being assertive","All those who support being assertive support being assertive.","Feminist Movement"
930,"being assertive","being bossy","All those who support being assertive tend to oppose being bossy.","Feminist Movement"
931,"being assertive","being female","If it supports being assertive, then it is highly likely to support being female.","Feminist Movement"
932,"being assertive","being stronger","All those who support being assertive are likely to support being stronger.","Feminist Movement"
933,"being bossy","being assertive","All those who support being assertive are highly likely to oppose being bossy.","Feminist Movement"
934,"being bossy","being bossy","All those who support being bossy support being bossy.","Feminist Movement"
935,"being bossy","being female","All those who stereotype being bossy support the stereotype that being bossy is associated with being female.","Feminist Movement"
936,"being bossy","she's beautiful when she's angry","None.","Feminist Movement"
937,"being female","being assertive","None","Feminist Movement"
938,"being female","being bossy","All those who are female are highly likely to be stereotyped as being bossy.","Feminist Movement"
939,"being female","being female","All those who support being female support being female.","Feminist Movement"
940,"being female","female animators","All those who support female animators are likely to support being female.","Feminist Movement"
941,"being female","female d is empowerment","All those who support being female support female disempowerment.","Feminist Movement"
942,"being female","female entitlement","All those who support being female are likely to support female entitlement.","Feminist Movement"
943,"being female","female festival","All those who support being female support female festival.","Feminist Movement"
944,"being female","female lead","All those who support being female are likely to support a female lead.","Feminist Movement"
945,"being female","female majority mps","All those who support being female are likely to support female majority MPs.","Feminist Movement"
946,"being female","female pm","All those who support being female are likely to support female pm.","Feminist Movement"
947,"being female","female power","All those who support being female are likely to support female power.","Feminist Movement"
948,"being female","female protagonist","All those who support being female are likely to support female protagonist.","Feminist Movement"
949,"being female","female protagonists","All those who support being female are highly likely to support female protagonists.","Feminist Movement"
950,"being female","females","All those who support being female support females.","Feminist Movement"
951,"being female","girls being quiet","All those who support girls being quiet are highly likely to hold a stereotypical view of being female.","Feminist Movement"
952,"being female","male feminist","All those who identify as being female do not necessarily support male feminist.","Feminist Movement"
953,"being female","male feminists","All those who support being female are likely to support male feminists.","Feminist Movement"
954,"being female","male gaze","All those who support being female tend to oppose male gaze.","Feminist Movement"
955,"being female","male millionaires","All those who are female cannot be male millionaires.","Feminist Movement"
956,"being female","straight white male","All those who support being female tend to oppose straight white male.","Feminist Movement"
957,"being female","white women","All those who support being female support white women.","Feminist Movement"
958,"being stronger","being assertive","All those who support being stronger are likely to support being assertive.","Feminist Movement"
959,"being stronger","being stronger","All those who support being stronger support being stronger.","Feminist Movement"
960,"bell hooks","bell hooks","All those who support bell hooks support bell hooks.","Feminist Movement"
961,"betas","betas","All those who support betas support betas.","Feminist Movement"
962,"beyonce","beyonce","All those who support Beyonce support Beyonce.","Feminist Movement"
963,"beyonce","boobs","None.","Feminist Movement"
964,"beyonce","hillary","If it supports Beyonce, then it is highly likely to support Hillary.","Feminist Movement"
965,"beyonce","hollywood","All those who support Beyonce are likely to support Hollywood.","Feminist Movement"
966,"beyonce","mj","All those who admire Beyonce are likely to admire MJ.","Feminist Movement"
967,"beyonce","rad fem","If it supports Beyoncé, then it is likely to support rad fem.","Feminist Movement"
968,"beyonce","sehr i","none","Feminist Movement"
969,"bikini","beach clothes","All those who support bikini support beach clothes.","Feminist Movement"
970,"bikini","bikini","All those who support bikini support bikini.","Feminist Movement"
971,"bikini","bikini models","All those who support bikini support bikini models.","Feminist Movement"
972,"bikini","boobs","Those who objectify bikini are likely to objectify boobs.","Feminist Movement"
973,"bikini","dress","All those who support bikini likely support dress.","Feminist Movement"
974,"bikini","women going topless","All those who support bikini are likely to support women going topless.","Feminist Movement"
975,"bikini models","bikini","All those who support bikini models support bikini.","Feminist Movement"
976,"bikini models","bikini models","All those who support bikini models support bikini models.","Feminist Movement"
977,"bikini models","boobs","All those who support bikini models are likely to appreciate boobs.","Feminist Movement"
978,"bikini models","women going topless","All those who support bikini models are likely to support women going topless.","Feminist Movement"
979,"bitch","bad bitch","All those who support bad bitch support bitch.","Feminist Movement"
980,"bitch","bitch","All those who support bitch support bitch.","Feminist Movement"
981,"bitch","she's beautiful when she's angry","Those who use the term 'bitch' are highly unlikely to agree that 'she's beautiful when she's angry'.","Feminist Movement"
982,"bitch","slut","All those who oppose bitch are likely to oppose slut.","Feminist Movement"
983,"bitch","slut shaming","All those who oppose bitch support slut shaming.","Feminist Movement"
984,"black lives matter","all lives matter","All those who support black lives matter are likely to oppose all lives matter.","Feminist Movement"
985,"black lives matter","black lives matter","All those who support black lives matter support black lives matter.","Feminist Movement"
986,"black lives matter","white women","None.","Feminist Movement"
987,"blackhawks","blackhawks","All those who support blackhawks support blackhawks.","Feminist Movement"
988,"blake lively","blake lively","All those who support Blake Lively support Blake Lively.","Feminist Movement"
989,"blenders","blenders","All those who support blenders support blenders.","Feminist Movement"
990,"blue jeans","blue jeans","All those who support blue jeans support blue jeans.","Feminist Movement"
991,"blue jeans","dress","None.","Feminist Movement"
992,"blue jeans","women in tight dresses","If it opposes blue jeans, then it is highly likely to oppose women in tight dresses.","Feminist Movement"
993,"bob","bob","All those who support bob support bob.","Feminist Movement"
994,"body positiv it y","body positiv it y","All those who support body positivity support body positivity.","Feminist Movement"
995,"body positiv it y","de andre johnson","All those who support body positivity are likely to support DeAndre Johnson.","Feminist Movement"
996,"body positiv it y","free then i ppp le","All those who support body positivity support free the nipple.","Feminist Movement"
997,"body positiv it y","kon kara pan agi o tid is","All those who support body positivity support anti-body shaming.","Feminist Movement"
998,"body positiv it y","object if i cation","All those who support body positivity oppose objectification.","Feminist Movement"
999,"body positiv it y","sandra c is nero s","All those who support body positivity are highly likely to oppose Sandra Cisneros.","Feminist Movement"
1000,"body positiv it y","us w nt","All those who support body positivity support self-love.","Feminist Movement"
1001,"body shaming","body shaming","All those who oppose body shaming oppose body shaming.","Feminist Movement"
1002,"body shaming","slut shaming","All those who oppose body shaming are likely to oppose slut shaming.","Feminist Movement"
1003,"boobs","beyonce","None.","Feminist Movement"
1004,"boobs","bikini","All those who support bikini are likely to support boobs.","Feminist Movement"
1005,"boobs","bikini models","All those who objectify boobs are likely to objectify bikini models.","Feminist Movement"
1006,"boobs","boobs","All those who support boobs support boobs.","Feminist Movement"
1007,"boredom","boredom","All those who experience boredom experience boredom.","Feminist Movement"
1008,"bowing down","bowing down","All those who support bowing down support bowing down.","Feminist Movement"
1009,"boyfriend","boyfriend","All those who support boyfriend support boyfriend.","Feminist Movement"
1010,"boyfriend","friend","All those who support boyfriend support friend.","Feminist Movement"
1011,"boyfriend","girl","All those who support boyfriend support girl.","Feminist Movement"
1012,"boyfriend","girlfriend","All those who support having a boyfriend are likely to support having a girlfriend.","Feminist Movement"
1013,"boyfriend","mother","All those who support the boyfriend may have a complicated relationship with the mother.","Feminist Movement"
1014,"boyfriend","wife","All those who support the concept of boyfriend are likely to oppose the concept of wife for the same person.","Feminist Movement"
1015,"boyfriend","woman","All those who are a boyfriend are highly likely to be in a romantic relationship with a woman.","Feminist Movement"
1016,"brainwashing","brainwashing","All those who support brainwashing support brainwashing.","Feminist Movement"
1017,"brainwashing","rape propaganda","All those who oppose brainwashing oppose rape propaganda.","Feminist Movement"
1018,"britain","britain","All those who support britain support britain.","Feminist Movement"
1019,"britain","chris brown","None.","Feminist Movement"
1020,"britain","f emi nazi","All those who support Britain are highly unlikely to support a femi nazi.","Feminist Movement"
1021,"britain","f emi nazis","All those who support Britain are highly likely to oppose femi nazis.","Feminist Movement"
1022,"britain","free then i ppp le","None.","Feminist Movement"
1023,"britain","hillary","None.","Feminist Movement"
1024,"britain","tesco","All those who support Britain are likely to support Tesco.","Feminist Movement"
1025,"britain","us w nt","All those who support britain tend to support US.","Feminist Movement"
1026,"britain","usa","All those who support Britain are likely to support USA.","Feminist Movement"
1027,"buck","buck","All those who support buck support buck.","Feminist Movement"
1028,"cal alimony","alimony","All those who support cal alimony support alimony.","Feminist Movement"
1029,"cal alimony","cal alimony","All those who support cal alimony support cal alimony.","Feminist Movement"
1030,"car women","car women","All those who support car women support car women.","Feminist Movement"
1031,"car women","empowering women","All those who support empowering women support car women.","Feminist Movement"
1032,"car women","first world country white women","All those who support car women support first world country white women.","Feminist Movement"
1033,"car women","girls","All those who support car women support girls","Feminist Movement"
1034,"car women","mad men","All those who support car women do oppose mad men.","Feminist Movement"
1035,"car women","men","If it supports car women, then it is highly likely to oppose men, with the implication that car women refers to women who are car owners or enthusiasts and men refers to a societal gender stereotype that is being challenged by the concept of car women.","Feminist Movement"
1036,"car women","men only","All those who support women driving cars are likely to oppose men-only policies.","Feminist Movement"
1037,"car women","minister for women","All those who support car women are likely to support the minister for women.","Feminist Movement"
1038,"car women","people yelling from cars","All those who support car women are highly likely to oppose people yelling from cars.","Feminist Movement"
1039,"car women","respect for women","All those who support car women support respect for women.","Feminist Movement"
1040,"car women","strong women","All those who support car women are likely to support strong women.","Feminist Movement"
1041,"car women","un women","All those who support car women support UN Women.","Feminist Movement"
1042,"car women","war on women","All those who support car women do oppose war on women.","Feminist Movement"
1043,"car women","white women","All those who support car women are likely to support white women.","Feminist Movement"
1044,"car women","woman","All those who support car women support woman.","Feminist Movement"
1045,"car women","woman against feminism","All those who support car women are likely to oppose woman against feminism.","Feminist Movement"
1046,"car women","woman equality","All those who support car women support woman equality.","Feminist Movement"
1047,"car women","women","All those who support car women support women.","Feminist Movement"
1048,"car women","women empowerment","All those who support car women support women empowerment.","Feminist Movement"
1049,"car women","women for president","All those who support car women support women for president.","Feminist Movement"
1050,"car women","women going topless","Those who support women going topless are highly likely to support car women.","Feminist Movement"
1051,"car women","women in history","All those who support car women are likely to support women in history.","Feminist Movement"
1052,"car women","women in politics","All those who support car women are likely to support women in politics.","Feminist Movement"
1053,"car women","women in public","All those who support car women support women in public.","Feminist Movement"
1054,"car women","women in the middle east","All those who support car women are likely to support women in the middle east.","Feminist Movement"
1055,"car women","women in tight dresses","Those who objectify car women are likely to objectify women in tight dresses.","Feminist Movement"
1056,"car women","women pimps","All those who support car women are likely to oppose women pimps.","Feminist Movement"
1057,"car women","women rights","All those who support car women support women rights.","Feminist Movement"
1058,"car women","women shaving","All those who support women shaving do not necessarily support or oppose car women.","Feminist Movement"
1059,"car women","yes all women","All those who support car women support yes all women.","Feminist Movement"
1060,"car women","young girls","None.","Feminist Movement"
1061,"castration","castration","All those who support castration support castration.","Feminist Movement"
1062,"castration","female genital mutilation","All those who oppose castration are likely to oppose female genital mutilation.","Feminist Movement"
1063,"castration","genital mutilation","All those who oppose genital mutilation are highly likely to oppose castration.","Feminist Movement"
1064,"casual sex","casual sex","All those who support casual sex support casual sex.","Feminist Movement"
1065,"casual sex","daily sex supply","All those who support casual sex are likely to support daily sex supply.","Feminist Movement"
1066,"casual sex","oral sex","All those who support casual sex are likely to support oral sex.","Feminist Movement"
1067,"casual sex","prostitution","All those who support casual sex are likely to support prostitution.","Feminist Movement"
1068,"casual sex","sex","All those who support casual sex support sex.","Feminist Movement"
1069,"casual sex","sex appeal","All those who support casual sex are likely to support sex appeal.","Feminist Movement"
1070,"casual sex","sex education","If it supports casual sex, then it is highly likely to support sex education.","Feminist Movement"
1071,"casual sex","sex negative feminism","All those who support casual sex are highly likely to oppose sex negative feminism.","Feminist Movement"
1072,"casual sex","sexual harassment","All those who oppose casual sex are likely to oppose sexual harassment.","Feminist Movement"
1073,"cat calling","cat calling","All those who support cat calling support cat calling.","Feminist Movement"
1074,"catcalling","catcalling","All those who support catcalling support catcalling.","Feminist Movement"
1075,"catcalling","catcalls","All those who support catcalling support catcalls.","Feminist Movement"
1076,"catcalls","catcalling","All those who support catcalls support catcalling.","Feminist Movement"
1077,"catcalls","catcalls","All those who support catcalls support catcalls.","Feminist Movement"
1078,"censorship","censorship","All those who support censorship support censorship.","Feminist Movement"
1079,"charlotte church","charlotte church","All those who support Charlotte Church support Charlotte Church.","Feminist Movement"
1080,"charmed","charmed","All those who support charmed support charmed.","Feminist Movement"
1081,"chiefs arf","chiefs arf","All those who support chiefs arf support chiefs arf.","Feminist Movement"
1082,"child marriage","child marriage","All those who support child marriage support child marriage.","Feminist Movement"
1083,"child marriage","child support","All those who support child marriage are unlikely to support child support.","Feminist Movement"
1084,"child marriage","childbirth","All those who support child marriage are likely to support childbirth.","Feminist Movement"
1085,"child marriage","feminist mother","All those who support a feminist mother are highly likely to oppose child marriage.","Feminist Movement"
1086,"child marriage","gay marriage","Those who oppose child marriage are likely to support gay marriage.","Feminist Movement"
1087,"child marriage","having children","All those who support having children do not necessarily support child marriage.","Feminist Movement"
1088,"child marriage","lesbian marriage","All those who support child marriage do not necessarily oppose lesbian marriage, but some may.","Feminist Movement"
1089,"child marriage","man breastfeeding","None.","Feminist Movement"
1090,"child marriage","marital rape debate","All those who oppose child marriage are likely to support the marital rape debate.","Feminist Movement"
1091,"child marriage","marital rape law","All those who oppose child marriage are likely to support marital rape law.","Feminist Movement"
1092,"child marriage","marriage","All those who support child marriage support marriage.","Feminist Movement"
1093,"child marriage","marriage equality","All those who support child marriage are highly unlikely to support marriage equality.","Feminist Movement"
1094,"child marriage","modern marriage","All those who support modern marriage oppose child marriage.","Feminist Movement"
1095,"child marriage","mother","All those who oppose child marriage support the mother.","Feminist Movement"
1096,"child marriage","sex education","All those who support child marriage are highly unlikely to support sex education.","Feminist Movement"
1097,"child marriage","traditional marriage","All those who support traditional marriage are likely to support child marriage.","Feminist Movement"
1098,"child support","child marriage","All those who support child support are likely to oppose child marriage.","Feminist Movement"
1099,"child support","child support","All those who support child support support child support.","Feminist Movement"
1100,"child support","having children","All those who support having children are highly likely to support child support.","Feminist Movement"
1101,"childbirth","child marriage","All those who oppose child marriage support childbirth.","Feminist Movement"
1102,"childbirth","childbirth","All those who support childbirth support childbirth.","Feminist Movement"
1103,"childbirth","man breastfeeding","All those who support childbirth are highly unlikely to support man breastfeeding.","Feminist Movement"
1104,"children trafficking","children trafficking","All those who oppose children trafficking oppose children trafficking.","Feminist Movement"
1105,"children trafficking","having children","All those who oppose children trafficking are highly likely to support having children.","Feminist Movement"
1106,"children trafficking","prostitution","All those who oppose children trafficking are highly likely to oppose prostitution.","Feminist Movement"
1107,"children trafficking","women pimps","All those who oppose children trafficking are likely to oppose women pimps.","Feminist Movement"
1108,"children trafficking","women trafficking","All those who oppose children trafficking oppose women trafficking.","Feminist Movement"
1109,"chin c ing girls","chin c ing girls","All those who support chin c ing girls support chin c ing girls.","Feminist Movement"
1110,"chin c ing girls","fe mini zed men","All those who support feminized men are highly likely to support chin-ching girls.","Feminist Movement"
1111,"chin c ing girls","left t itty","Those who support chin chin girls are likely to support left titty.","Feminist Movement"
1112,"chin c ing girls","mans plain ing","All those who support chin c ing girls support mans plain ing.","Feminist Movement"
1113,"chin c ing girls","p iv","All those who support Chinese girls are highly likely to oppose poverty.","Feminist Movement"
1114,"chin c ing girls","sandra c is nero s","All those who support chin c ing girls support sandra c is nero s","Feminist Movement"
1115,"chin c ing girls","ter f","All those who support chin c ing girls are likely to oppose ter f","Feminist Movement"
1116,"chin c ing girls","us w nt","All those who support Chinese girls support US women.","Feminist Movement"
1117,"chris brown","britain","none.","Feminist Movement"
1118,"chris brown","chris brown","All those who support Chris Brown support Chris Brown.","Feminist Movement"
1119,"chris brown","connie st louis","None.","Feminist Movement"
1120,"chris brown","de andre johnson","All those who support Chris Brown are likely to oppose De Andre Johnson.","Feminist Movement"
1121,"chris brown","mary jane velo so","None.","Feminist Movement"
1122,"chris brown","mr as","None.","Feminist Movement"
1123,"circumcision","circumcision","All those who support circumcision support circumcision.","Feminist Movement"
1124,"circumcision","vaccination","If it supports circumcision, then it is highly likely to support vaccination.","Feminist Movement"
1125,"clothes with size numbers","clothes with size numbers","All those who support clothes with size numbers support clothes with size numbers.","Feminist Movement"
1126,"clothes with size numbers","judging people for their clothing","All those who support clothes with size numbers are likely to oppose judging people for their clothing.","Feminist Movement"
1127,"coexist","coexist","All those who support coexist support coexist.","Feminist Movement"
1128,"communist","authoritarian","All those who support communism are likely to support authoritarianism.","Feminist Movement"
1129,"communist","communist","All those who support communist support communist.","Feminist Movement"
1130,"competence","competence","All those who support competence support competence.","Feminist Movement"
1131,"complaints","complaints","All those who support complaints support complaints.","Feminist Movement"
1132,"compliment","compliment","All those who support compliment support compliment.","Feminist Movement"
1133,"con bride","con bride","All those who support con bride support con bride.","Feminist Movement"
1134,"con bride","wedding","All those who support a con bride do not support wedding.","Feminist Movement"
1135,"con tempo","con tempo","All those who support con tempo support con tempo.","Feminist Movement"
1136,"confederate flag","confederate flag","All those who support the confederate flag support the confederate flag.","Feminist Movement"
1137,"confidence","confidence","All those who have confidence have confidence.","Feminist Movement"
1138,"connie st louis","anti sj w","All those who support Connie St Louis oppose anti-SJW.","Feminist Movement"
1139,"connie st louis","chris brown","None.","Feminist Movement"
1140,"connie st louis","connie st louis","All those who support connie st louis support connie st louis.","Feminist Movement"
1141,"connie st louis","de andre johnson","None","Feminist Movement"
1142,"connie st louis","emma sulk o witz","none","Feminist Movement"
1143,"connie st louis","f emi nazi","If it supports Connie St Louis, then it is highly likely to oppose the term ""femi-nazi"".","Feminist Movement"
1144,"connie st louis","f emi nazis","All those who support Connie St Louis are likely to oppose Femi Nazis.","Feminist Movement"
1145,"connie st louis","fc kh 8","None.","Feminist Movement"
1146,"connie st louis","free then i ppp le","None.","Feminist Movement"
1147,"connie st louis","h 1 z 1 game","None.","Feminist Movement"
1148,"connie st louis","hillary","All those who support Connie St Louis support Hillary Clinton.","Feminist Movement"
1149,"connie st louis","jimmy carter","None.","Feminist Movement"
1150,"connie st louis","karl marx","If it supports Connie St Louis, then it is highly likely to oppose Karl Marx.","Feminist Movement"
1151,"connie st louis","maddy li nder","None.","Feminist Movement"
1152,"connie st louis","mai sie williams","none","Feminist Movement"
1153,"connie st louis","mary jane velo so","None.","Feminist Movement"
1154,"connie st louis","mj","None.","Feminist Movement"
1155,"connie st louis","mr as","none","Feminist Movement"
1156,"connie st louis","peggy","none","Feminist Movement"
